*** Friday March 06, 2020  time: 17:09:58 ***

BaseApp constructor starting...
Using GLEW 2.1.0
OpenGL version: 4.6.0 NVIDIA 442.19
Has NPOT
glsl version: 4.60 NVIDIA
BaseApp constructor finished. Yay!


lineFrag 0 10
readPoint 1 0

lineFrag 0 0
readPoint 2 0

lineFrag 0 0
readPoint 1 0

lineFrag 0 11
readPoint 1 0

lineFrag 1 17
readPoint 1 17

lineFrag 1 21
readPoint 2 0

lineFrag 0 0
readPoint 2 4

lineFrag 2 1
readPoint 3 0

lineFrag 3 15
readPoint 3 15

lineFrag 3 24
readPoint 4 0

lineFrag 0 0
readPoint 4 9

lineFrag 4 1
readPoint 5 0

lineFrag 5 14
readPoint 5 14

lineFrag 5 25
readPoint 6 0

lineFrag 0 0
readPoint 6 11

lineFrag 6 1
readPoint 7 0

lineFrag 7 14
readPoint 7 14

lineFrag 7 25
readPoint 8 0

lineFrag 0 0
readPoint 8 11

lineFrag 8 1
readPoint 9 0

lineFrag 9 14
readPoint 9 14

lineFrag 9 23
readPoint 10 0

lineFrag 0 0
readPoint 10 9

lineFrag 10 1
readPoint 11 0

lineFrag 11 17
readPoint 12 0

lineFrag 0 0
readPoint 13 0

lineFrag 12 1
readPoint 13 0

lineFrag 13 11
readPoint 13 11

lineFrag 13 17
readPoint 14 0

lineFrag 0 0
readPoint 14 6

lineFrag 14 1
readPoint 15 0

lineFrag 15 14
readPoint 15 14

lineFrag 15 20
readPoint 16 0

lineFrag 0 0
readPoint 16 6

lineFrag 16 1
readPoint 17 0

lineFrag 0 20
readPoint 1 0

lineFrag 0 0
readPoint 2 0

lineFrag 0 21
readPoint 0 21

lineFrag 0 99
readPoint 1 0

lineFrag 0 0
readPoint 1 78

lineFrag 0 100
readPoint 0 100

lineFrag 0 120
readPoint 1 0

lineFrag 0 0
readPoint 1 20

lineFrag 0 121
readPoint 0 121

lineFrag 0 197
readPoint 1 0

lineFrag 0 0
readPoint 1 76

lineFrag 0 198
readPoint 0 198

lineFrag 0 199
readPoint 0 199

lineFrag 0 245
readPoint 1 0

lineFrag 0 0
readPoint 1 46

lineFrag 0 246
readPoint 0 246

lineFrag 0 247
readPoint 0 247

lineFrag 0 248
readPoint 0 248

lineFrag 0 280
readPoint 1 0

lineFrag 0 0
readPoint 1 32

lineFrag 0 281
readPoint 0 281

lineFrag 0 354
readPoint 0 354

lineFrag 0 429
readPoint 0 429

lineFrag 0 502
readPoint 0 502

lineFrag 0 553
readPoint 1 0

lineFrag 0 0
readPoint 1 51

lineFrag 0 554
readPoint 0 554

lineFrag 0 555
readPoint 0 555

lineFrag 0 579
readPoint 1 0

lineFrag 0 0
readPoint 1 24

lineFrag 0 580
readPoint 0 580

lineFrag 0 588
readPoint 1 0

lineFrag 0 0
readPoint 1 8

lineFrag 0 589
readPoint 0 589

lineFrag 0 597
readPoint 1 0

lineFrag 0 0
readPoint 1 8

lineFrag 0 598
readPoint 0 598

lineFrag 0 608
readPoint 1 0

lineFrag 0 0
readPoint 1 10

lineFrag 0 609
readPoint 0 609

lineFrag 0 618
readPoint 1 0

lineFrag 0 0
readPoint 1 9

lineFrag 0 619
readPoint 0 619

lineFrag 0 627
readPoint 1 0

lineFrag 0 0
readPoint 1 8

lineFrag 0 628
readPoint 0 628

lineFrag 0 638
readPoint 1 0

lineFrag 0 0
readPoint 1 10

lineFrag 0 639
readPoint 0 639

lineFrag 0 649
readPoint 1 0

lineFrag 0 0
readPoint 1 10

lineFrag 0 650
readPoint 0 650

lineFrag 0 685
readPoint 1 0

lineFrag 0 0
readPoint 1 35

lineFrag 0 686
readPoint 0 686

lineFrag 0 697
readPoint 1 0

lineFrag 0 0
readPoint 1 11

lineFrag 0 698
readPoint 0 698

lineFrag 0 699
readPoint 0 699

lineFrag 0 724
readPoint 1 0

lineFrag 0 0
readPoint 1 25

lineFrag 0 725
readPoint 0 725

lineFrag 0 735
readPoint 1 0

lineFrag 0 0
readPoint 1 10

lineFrag 0 736
readPoint 0 736

lineFrag 0 745
readPoint 1 0

lineFrag 0 0
readPoint 1 9

lineFrag 0 746
readPoint 0 746

lineFrag 0 758
readPoint 1 0

lineFrag 0 0
readPoint 1 12

lineFrag 0 759
readPoint 0 759

lineFrag 0 770
readPoint 1 0

lineFrag 0 0
readPoint 1 11

lineFrag 0 771
readPoint 0 771

lineFrag 0 781
readPoint 1 0

lineFrag 0 0
readPoint 1 10

lineFrag 0 782
readPoint 0 782

lineFrag 0 794
readPoint 1 0

lineFrag 0 0
readPoint 1 12

lineFrag 0 795
readPoint 0 795

lineFrag 0 807
readPoint 1 0

lineFrag 0 0
readPoint 1 12

lineFrag 0 808
readPoint 0 808

lineFrag 0 844
readPoint 1 0

lineFrag 0 0
readPoint 1 36

lineFrag 0 845
readPoint 0 845

lineFrag 0 858
readPoint 1 0

lineFrag 0 0
readPoint 1 13

lineFrag 1 1
readPoint 1 1

lineFrag 1 2
readPoint 2 0

lineFrag 2 9
readPoint 3 0

lineFrag 0 0
readPoint 4 0

lineFrag 3 1
readPoint 4 0

lineFrag 3 37
readPoint 4 0

lineFrag 0 0
readPoint 4 36

lineFrag 3 48
readPoint 4 0

lineFrag 0 0
readPoint 4 11

lineFrag 4 5
readPoint 5 0

lineFrag 0 0
readPoint 6 0

lineFrag 5 5
readPoint 6 0

lineFrag 0 0
readPoint 7 0

lineFrag 6 9
readPoint 7 0

lineFrag 0 0
readPoint 8 0

lineFrag 7 2
readPoint 8 0

lineFrag 0 0
readPoint 9 0

lineFrag 0 0
readPoint 17 0

lineFrag 0 21
readPoint 0 21

lineFrag 0 100
readPoint 0 100

lineFrag 0 121
readPoint 0 121

lineFrag 0 198
readPoint 0 198

lineFrag 0 199
readPoint 0 199

lineFrag 0 246
readPoint 0 246

lineFrag 0 247
readPoint 0 247

lineFrag 0 248
readPoint 0 248

lineFrag 0 281
readPoint 0 281

lineFrag 0 354
readPoint 0 354

lineFrag 0 429
readPoint 0 429

lineFrag 0 502
readPoint 0 502

lineFrag 0 554
readPoint 0 554

lineFrag 0 555
readPoint 0 555

lineFrag 0 580
readPoint 0 580

lineFrag 0 589
readPoint 0 589

lineFrag 0 598
readPoint 0 598

lineFrag 0 609
readPoint 0 609

lineFrag 0 619
readPoint 0 619

lineFrag 0 628
readPoint 0 628

lineFrag 0 639
readPoint 0 639

lineFrag 0 650
readPoint 0 650

lineFrag 0 686
readPoint 0 686

lineFrag 0 698
readPoint 0 698

lineFrag 0 699
readPoint 0 699

lineFrag 0 725
readPoint 0 725

lineFrag 0 736
readPoint 0 736

lineFrag 0 746
readPoint 0 746

lineFrag 0 759
readPoint 0 759

lineFrag 0 771
readPoint 0 771

lineFrag 0 782
readPoint 0 782

lineFrag 0 795
readPoint 0 795

lineFrag 0 808
readPoint 0 808

lineFrag 0 845
readPoint 0 845

lineFrag 0 858
readPoint 1 0

